unidade;ano;mes;grau;escore;predicao_obito;saidas;obitos_ocorridos;obitos_esperados
HRAD;2022;4;V;20 a 24;0,4;2;1;0,8
HRAD;2022;4;VI;25 a 29;0,55;1;1;0,55
HRAD;2022;5;III;10 a 14;0,15;4;2;0,6
HRAD;2022;5;IV;15 a 19;0,25;5;1;1,25
HRAD;2022;5;V;20 a 24;0,4;2;1;0,8
HRAD;2022;5;VI;25 a 29;0,55;4;1;2,2
HRAD;2022;5;VII;30 a 34;0,75;1;1;0,75
HRAD;2022;6;V;20 a 24;0,4;6;1;2,4
HRAD;2022;7;IV;15 a 19;0,25;6;1;1,5
HRAD;2022;7;V;20 a 24;0,4;2;1;0,8
HRAD;2022;7;VI;25 a 29;0,55;2;1;1,1
HRAD;2022;8;V;20 a 24;0,4;6;1;2,4
HRAD;2022;9;V;20 a 24;0,4;2;1;0,8
HRAD;2022;10;VI;25 a 29;0,55;1;2;0,55
HRAD;2022;11;III;10 a 14;0,15;3;1;0,45
HRAD;2022;11;V;20 a 24;0,4;4;3;1,6
HRAD;2022;11;VI;25 a 29;0,55;2;2;1,1
HRAD;2022;12;III;10 a 14;0,15;4;1;0,6
HRAD;2022;12;IV;15 a 19;0,25;8;1;2,0
HRAD;2022;12;V;20 a 24;0,4;2;2;0,8
HRAD;2022;12;VI;25 a 29;0,55;3;2;1,65
HRAD;2022;12;VII;30 a 34;0,75;1;1;0,75
HRAD;2023;1;IV;15 a 19;0,25;5;1;1,25
HRAD;2023;1;VI;25 a 29;0,55;3;3;1,65
HRAD;2023;1;VIII;> 34;0,85;1;1;0,85
HRAD;2023;2;IV;15 a 19;0,25;4;2;1,0
HRAD;2023;2;VI;25 a 29;0,55;2;1;1,1
HRAD;2023;2;VII;30 a 34;0,75;1;1;0,75
HRAD;2023;3;V;20 a 24;0,4;9;1;3,6
HRAD;2023;3;VI;25 a 29;0,55;4;2;2,2
HRAD;2023;3;VII;30 a 34;0,75;1;1;0,75
HRAD;2023;4;IV;15 a 19;0,25;3;2;0,75
HRAD;2023;4;V;20 a 24;0,4;5;3;2,0
HRAD;2023;4;VI;25 a 29;0,55;2;2;1,1
HRAD;2023;5;IV;15 a 19;0,25;8;2;2,0
HRAD;2023;5;V;20 a 24;0,4;2;1;0,8
HRAD;2023;5;VI;25 a 29;0,55;3;2;1,65
HRAD;2023;6;IV;15 a 19;0,25;10;2;2,5
HRAD;2023;6;V;20 a 24;0,4;3;1;1,2
HRAD;2023;6;VI;25 a 29;0,55;1;1;0,55
HRAD;2023;6;VII;30 a 34;0,75;1;1;0,75
HRAD;2023;7;IV;15 a 19;0,25;10;2;2,5
HRAD;2023;7;VII;30 a 34;0,75;1;1;0,75
HRAD;2023;8;V;20 a 24;0,4;7;1;2,8
HRAD;2023;8;VI;25 a 29;0,55;2;1;1,1
HRAD;2023;8;VII;30 a 34;0,75;2;2;1,5
HRAD;2023;9;IV;15 a 19;0,25;9;1;2,25
HRAD;2023;9;V;20 a 24;0,4;6;1;2,4
HRAD;2023;9;VI;25 a 29;0,55;1;1;0,55
HRAD;2023;10;V;20 a 24;0,4;11;3;4,4
HRAD;2023;10;VI;25 a 29;0,55;4;1;2,2
HRAD;2023;11;III;10 a 14;0,15;4;1;0,6
HRAD;2023;11;V;20 a 24;0,4;3;2;1,2
HRAD;2023;11;VI;25 a 29;0,55;5;3;2,75
HRAD;2023;11;VII;30 a 34;0,75;1;1;0,75
HRAD;2023;12;V;20 a 24;0,4;4;1;1,6
HRAD;2023;12;VI;25 a 29;0,55;4;3;2,2
HRAD;2024;1;V;20 a 24;0,4;6;4;2,4
HRAD;2024;1;VI;25 a 29;0,55;1;1;0,55
HRAD;2024;2;IV;15 a 19;0,25;6;1;1,5
HRAD;2024;2;V;20 a 24;0,4;4;1;1,6
HRAD;2024;3;IV;15 a 19;0,25;10;2;2,5
HRAD;2024;3;V;20 a 24;0,4;9;2;3,6
HRAD;2024;3;VI;25 a 29;0,55;3;2;1,65
HRAD;2024;4;II;5 a 9;0,08;6;1;0,48
HRAD;2024;4;V;20 a 24;0,4;5;2;2,0
HRAD;2024;4;VI;25 a 29;0,55;11;2;6,05
HRAD;2024;5;V;20 a 24;0,4;6;1;2,4
HRAD;2024;5;VI;25 a 29;0,55;5;1;2,75
HRAD;2024;5;VII;30 a 34;0,75;3;2;2,25
HRAD;2024;6;IV;15 a 19;0,25;8;2;2,0
HRAD;2024;6;V;20 a 24;0,4;8;2;3,2
HRAD;2024;6;VI;25 a 29;0,55;3;1;1,65
HRAD;2024;6;VII;30 a 34;0,75;3;3;2,25
HRAD;2024;6;VIII;> 34;0,85;4;3;3,4
HRAD;2024;7;V;20 a 24;0,4;7;2;2,8
HRAD;2024;7;VI;25 a 29;0,55;10;5;5,5
HRAD;2024;7;VII;30 a 34;0,75;10;6;7,5
HRAD;2024;7;VIII;> 34;0,85;4;3;3,4
HRAD;2024;8;IV;15 a 19;0,25;13;1;3,25
HRAD;2024;8;VI;25 a 29;0,55;10;3;5,5
HRAD;2024;8;VIII;> 34;0,85;19;8;16,15
HRAD;2024;9;VI;25 a 29;0,55;10;2;5,5
HRAD;2024;9;VII;30 a 34;0,75;10;3;7,5
HRAD;2024;9;VIII;> 34;0,85;5;2;4,25
HRAD;2024;10;V;20 a 24;0,4;12;1;4,8
HRAD;2024;10;VI;25 a 29;0,55;12;2;6,6
HRAD;2024;10;VII;30 a 34;0,75;7;2;5,25
HRAD;2024;10;VIII;> 34;0,85;10;7;8,5
HRAD;2024;11;VI;25 a 29;0,55;10;2;5,5
HRAD;2024;11;VII;30 a 34;0,75;10;3;7,5
HRAD;2024;11;VIII;> 34;0,85;5;2;4,25
HRAD;2024;12;V;20 a 24;0,4;4;1;1,6
HRAD;2024;12;VI;25 a 29;0,55;6;1;3,3
HRAD;2024;12;VII;30 a 34;0,75;12;2;9,0
HRAD;2024;12;VIII;> 34;0,85;7;5;5,95
HRAD;2025;1;IV;15 a 19;0,25;6;1;1,5
HRAD;2025;1;V;20 a 24;0,4;6;1;2,4
HRAD;2025;1;VII;30 a 34;0,75;5;1;3,75
HRAD;2025;2;V;20 a 24;0,4;9;1;3,6
HRAD;2025;2;VI;25 a 29;0,55;14;5;7,7
HRAD;2025;2;VII;30 a 34;0,75;8;4;6,0
HRAD;2025;2;VIII;> 34;0,85;10;3;8,5
HRAD;2025;3;VI;25 a 29;0,55;9;1;4,95
HRAD;2025;3;VII;30 a 34;0,75;9;1;6,75
HRAD;2025;3;VIII;> 34;0,85;12;4;10,2
HRAD;2025;4;V;20 a 24;0,4;8;1;3,2
HRAD;2025;4;VI;25 a 29;0,55;6;1;3,3
HRAD;2025;4;VII;30 a 34;0,75;12;4;9,0
HRAD;2025;4;VIII;> 34;0,85;12;6;10,2
HRAD;2025;5;VI;25 a 29;0,55;15;4;8,25
HRAD;2025;5;VII;30 a 34;0,75;10;1;7,5
HRAD;2025;5;VIII;> 34;0,85;9;6;7,65
HRAD;2025;6;VI;25 a 29;0,55;8;2;4,4
HRAD;2025;6;VII;30 a 34;0,75;5;2;3,75
HRAD;2025;6;VIII;> 34;0,85;16;9;13,6
HRAD;2025;7;V;20 a 24;0,4;7;2;2,8
HRAD;2025;7;VI;25 a 29;0,55;10;1;5,5
HRAD;2025;7;VII;30 a 34;0,75;11;3;8,25
HRAD;2025;7;VIII;> 34;0,85;11;4;9,35
HRAD;2025;8;V;20 a 24;0,4;7;1;2,8
HRAD;2025;8;VI;25 a 29;0,55;14;1;7,7
HRAD;2025;8;VII;30 a 34;0,75;8;3;6,0
HRAD;2025;8;VIII;> 34;0,85;9;4;7,65
HRAD;2025;9;VI;25 a 29;0,55;10;2;5,5
HRAD;2025;9;VII;30 a 34;0,75;11;5;8,25
HRAD;2025;9;VIII;> 34;0,85;5;2;4,25
HRAD;2025;10;IV;15 a 19;0,25;9;2;2,25
HRAD;2025;10;V;20 a 24;0,4;8;1;3,2
HRAD;2025;10;VI;25 a 29;0,55;13;2;7,15
HRAD;2025;10;VII;30 a 34;0,75;7;2;5,25
HRAD;2025;10;VIII;> 34;0,85;9;7;7,65
HRAD;2025;11;V;20 a 24;0,4;9;1;3,6
HRAD;2025;11;VI;25 a 29;0,55;8;1;4,4
HRAD;2025;11;VII;30 a 34;0,75;10;2;7,5
HRAD;2025;11;VIII;> 34;0,85;21;12;17,85
HRAD;2025;12;VI;25 a 29;0,55;2;1;1,1
HRAD;2025;12;VII;30 a 34;0,75;8;5;6,0
HRAD;2025;12;VIII;> 34;0,85;5;3;4,25
HRAD;2026;1;IV;15 a 19;0,25;7;1;1,75
HRAD;2026;1;V;20 a 24;0,4;7;1;2,8
HRAD;2026;1;VI;25 a 29;0,55;8;4;4,4
HRAD;2026;1;VII;30 a 34;0,75;2;1;1,5
HRAD;2026;1;VIII;> 34;0,85;4;3;3,4
HRAD;2026;2;V;20 a 24;0,4;6;1;2,4
HRAD;2026;2;VI;25 a 29;0,55;8;3;4,4
HRAD;2026;2;VIII;> 34;0,85;4;3;3,4
HRAD;2026;3;IV;15 a 19;0,25;11;2;2,75
HRAD;2026;3;V;20 a 24;0,4;6;1;2,4
HRAD;2026;3;VI;25 a 29;0,55;5;2;2,75
HRAD;2026;3;VII;30 a 34;0,75;3;2;2,25
HJXXIII;2019;1;II;5 a 9;0,08;11;1;0,88
HJXXIII;2019;1;III;10 a 14;0,15;26;1;3,9
HJXXIII;2019;1;IV;15 a 19;0,25;30;7;7,5
HJXXIII;2019;1;V;20 a 24;0,4;28;7;11,2
HJXXIII;2019;1;VI;25 a 29;0,55;26;1;14,3
HJXXIII;2019;2;III;10 a 14;0,15;16;2;2,4
HJXXIII;2019;2;IV;15 a 19;0,25;38;3;9,5
HJXXIII;2019;2;V;20 a 24;0,4;30;4;12,0
HJXXIII;2019;2;VI;25 a 29;0,55;16;3;8,8
HJXXIII;2019;2;VIII;> 34;0,85;5;2;4,25
HJXXIII;2019;3;III;10 a 14;0,15;39;2;5,85
HJXXIII;2019;3;IV;15 a 19;0,25;40;5;10,0
HJXXIII;2019;3;V;20 a 24;0,4;18;7;7,2
HJXXIII;2019;3;VII;30 a 34;0,75;3;1;2,25
HJXXIII;2019;3;VIII;> 34;0,85;4;2;3,4
HJXXIII;2019;4;II;5 a 9;0,08;9;1;0,72
HJXXIII;2019;4;III;10 a 14;0,15;36;1;5,4
HJXXIII;2019;4;IV;15 a 19;0,25;26;1;6,5
HJXXIII;2019;4;V;20 a 24;0,4;19;6;7,6
HJXXIII;2019;4;VI;25 a 29;0,55;11;5;6,05
HJXXIII;2019;4;VII;30 a 34;0,75;5;1;3,75
HJXXIII;2019;4;VIII;> 34;0,85;1;1;0,85
HJXXIII;2019;5;I;0 a 4;0,04;9;2;0,36
HJXXIII;2019;5;III;10 a 14;0,15;36;3;5,4
HJXXIII;2019;5;IV;15 a 19;0,25;31;8;7,75
HJXXIII;2019;5;V;20 a 24;0,4;22;9;8,8
HJXXIII;2019;5;VI;25 a 29;0,55;11;8;6,05
HJXXIII;2019;5;VII;30 a 34;0,75;3;2;2,25
HJXXIII;2019;5;VIII;> 34;0,85;1;1;0,85
HJXXIII;2019;6;IV;15 a 19;0,25;34;1;8,5
HJXXIII;2019;6;V;20 a 24;0,4;12;2;4,8
HJXXIII;2019;6;VI;25 a 29;0,55;11;5;6,05
HJXXIII;2019;6;VII;30 a 34;0,75;3;3;2,25
