excluir;unidade;ano;mes;grau;score;predicao_obito;saidas;obitos_esperados;obitos_ocorridos
07/2020;HRJP;2020,0;7,0;VI;25 a 29;55,0;0,0;0,0;0,0
07/2020;HRJP;2020,0;7,0;VII;30 a 34;75,0;0,0;0,0;0,0
07/2020;HRJP;2020,0;7,0;VIII;> 34;85,0;0,0;0,0;0,0
07/2020;MOV;2020,0;7,0;I;0 a 4;4,0;0,0;0,0;0,0
07/2020;MOV;2020,0;7,0;II;5 a 9;8,0;0,0;0,0;0,0
07/2020;MOV;2020,0;7,0;III;10 a 14;15,0;0,0;0,0;0,0
07/2020;MOV;2020,0;7,0;IV;15 a 19;25,0;0,0;0,0;0,0
07/2020;MOV;2020,0;7,0;V;20 a 24;40,0;0,0;0,0;0,0
07/2020;MOV;2020,0;7,0;VI;25 a 29;55,0;0,0;0,0;0,0
07/2020;MOV;2020,0;7,0;VII;30 a 34;75,0;0,0;0,0;0,0
07/2020;MOV;2020,0;7,0;VIII;> 34;85,0;0,0;0,0;0,0
08/2020;HAC;2020,0;8,0;I;0 a 4;4,0;0,0;0,0;0,0
08/2020;HAC;2020,0;8,0;II;5 a 9;8,0;1,0;0,08;0,0
08/2020;HAC;2020,0;8,0;III;10 a 14;15,0;8,0;1,2;0,0
08/2020;HAC;2020,0;8,0;IV;15 a 19;25,0;9,0;2,25;0,0
08/2020;HAC;2020,0;8,0;V;20 a 24;40,0;1,0;0,4;0,0
08/2020;HAC;2020,0;8,0;VI;25 a 29;55,0;6,0;3,3;2,0
08/2020;HAC;2020,0;8,0;VII;30 a 34;75,0;3,0;2,25;2,0
08/2020;HAC;2020,0;8,0;VIII;> 34;85,0;1,0;0,85;1,0
08/2020;HEM;2020,0;8,0;I;0 a 4;4,0;0,0;0,0;0,0
08/2020;HEM;2020,0;8,0;II;5 a 9;8,0;4,0;0,32;1,0
08/2020;HEM;2020,0;8,0;III;10 a 14;15,0;17,0;2,55;4,0
08/2020;HEM;2020,0;8,0;IV;15 a 19;25,0;20,0;5,0;9,0
08/2020;HEM;2020,0;8,0;V;20 a 24;40,0;13,0;5,2;6,0
08/2020;HEM;2020,0;8,0;VI;25 a 29;55,0;11,0;6,05;6,0
08/2020;HEM;2020,0;8,0;VII;30 a 34;75,0;6,0;4,5;6,0
08/2020;HEM;2020,0;8,0;VIII;> 34;85,0;4,0;3,4;4,0
08/2020;HJK;2020,0;8,0;I;0 a 4;4,0;114,0;4,58;8,0
08/2020;HJK;2020,0;8,0;II;5 a 9;8,0;222,0;17,78;23,0
08/2020;HJK;2020,0;8,0;III;10 a 14;15,0;265,0;39,900000000000006;15,0
08/2020;HJK;2020,0;8,0;IV;15 a 19;25,0;260,0;65,1;33,0
08/2020;HJK;2020,0;8,0;V;20 a 24;40,0;164,0;65,6;33,0
08/2020;HJK;2020,0;8,0;VI;25 a 29;55,0;82,0;45,2;28,0
08/2020;HJK;2020,0;8,0;VII;30 a 34;75,0;46,0;34,6;21,0
08/2020;HJK;2020,0;8,0;VIII;> 34;85,0;24,0;20,5;18,0
08/2020;HJXXIII;2020,0;8,0;I;0 a 4;4,0;9,0;0,36;0,0
08/2020;HJXXIII;2020,0;8,0;II;5 a 9;8,0;30,0;2,4;0,0
08/2020;HJXXIII;2020,0;8,0;III;10 a 14;15,0;34,0;5,1;4,0
08/2020;HJXXIII;2020,0;8,0;IV;15 a 19;25,0;12,0;3,0;1,0
08/2020;HJXXIII;2020,0;8,0;V;20 a 24;40,0;6,0;2,4;2,0
08/2020;HJXXIII;2020,0;8,0;VI;25 a 29;55,0;3,0;1,65;1,0
08/2020;HJXXIII;2020,0;8,0;VII;30 a 34;75,0;1,0;0,75;0,0
08/2020;HJXXIII;2020,0;8,0;VIII;> 34;85,0;0,0;0,0;0,0
08/2020;HRAD;2020,0;8,0;I;0 a 4;4,0;3,0;0,12;0,0
08/2020;HRAD;2020,0;8,0;II;5 a 9;8,0;4,0;0,32;0,0
08/2020;HRAD;2020,0;8,0;III;10 a 14;15,0;7,0;1,05;1,0
08/2020;HRAD;2020,0;8,0;IV;15 a 19;25,0;9,0;2,25;1,0
08/2020;HRAD;2020,0;8,0;V;20 a 24;40,0;10,0;4,0;5,0
08/2020;HRAD;2020,0;8,0;VI;25 a 29;55,0;10,0;5,5;3,0
08/2020;HRAD;2020,0;8,0;VII;30 a 34;75,0;3,0;2,25;1,0
08/2020;HRAD;2020,0;8,0;VIII;> 34;85,0;0,0;0,0;0,0
08/2020;HRBJA;2020,0;8,0;I;0 a 4;4,0;0,0;0,0;0,0
08/2020;HRBJA;2020,0;8,0;II;5 a 9;8,0;0,0;0,0;0,0
08/2020;HRBJA;2020,0;8,0;III;10 a 14;15,0;0,0;0,0;0,0
08/2020;HRBJA;2020,0;8,0;IV;15 a 19;25,0;0,0;0,0;0,0
08/2020;HRBJA;2020,0;8,0;V;20 a 24;40,0;0,0;0,0;0,0
08/2020;HRBJA;2020,0;8,0;VI;25 a 29;55,0;0,0;0,0;0,0
08/2020;HRBJA;2020,0;8,0;VII;30 a 34;75,0;0,0;0,0;0,0
08/2020;HRBJA;2020,0;8,0;VIII;> 34;85,0;0,0;0,0;0,0
08/2020;HRJP;2020,0;8,0;I;0 a 4;4,0;0,0;0,0;0,0
08/2020;HRJP;2020,0;8,0;II;5 a 9;8,0;10,0;0,8;3,0
08/2020;HRJP;2020,0;8,0;III;10 a 14;15,0;24,0;3,6;1,0
08/2020;HRJP;2020,0;8,0;IV;15 a 19;25,0;22,0;5,5;6,0
08/2020;HRJP;2020,0;8,0;V;20 a 24;40,0;12,0;4,8;7,0
08/2020;HRJP;2020,0;8,0;VI;25 a 29;55,0;0,0;0,0;0,0
08/2020;HRJP;2020,0;8,0;VII;30 a 34;75,0;0,0;0,0;0,0
08/2020;HRJP;2020,0;8,0;VIII;> 34;85,0;0,0;0,0;0,0
08/2020;MOV;2020,0;8,0;I;0 a 4;4,0;0,0;0,0;0,0
08/2020;MOV;2020,0;8,0;II;5 a 9;8,0;0,0;0,0;0,0
08/2020;MOV;2020,0;8,0;III;10 a 14;15,0;0,0;0,0;0,0
08/2020;MOV;2020,0;8,0;IV;15 a 19;25,0;0,0;0,0;0,0
08/2020;MOV;2020,0;8,0;V;20 a 24;40,0;0,0;0,0;0,0
08/2020;MOV;2020,0;8,0;VI;25 a 29;55,0;0,0;0,0;0,0
08/2020;MOV;2020,0;8,0;VII;30 a 34;75,0;0,0;0,0;0,0
08/2020;MOV;2020,0;8,0;VIII;> 34;85,0;0,0;0,0;0,0
09/2020;HAC;2020,0;9,0;I;0 a 4;4,0;5,0;0,2;1,0
09/2020;HAC;2020,0;9,0;II;5 a 9;8,0;20,0;1,6;0,0
09/2020;HAC;2020,0;9,0;III;10 a 14;15,0;13,0;1,95;0,0
09/2020;HAC;2020,0;9,0;IV;15 a 19;25,0;7,0;1,75;1,0
09/2020;HAC;2020,0;9,0;V;20 a 24;40,0;6,0;2,4;0,0
09/2020;HAC;2020,0;9,0;VI;25 a 29;55,0;2,0;1,1;1,0
09/2020;HAC;2020,0;9,0;VII;30 a 34;75,0;0,0;0,0;0,0
09/2020;HAC;2020,0;9,0;VIII;> 34;85,0;0,0;0,0;0,0
09/2020;HEM;2020,0;9,0;I;0 a 4;4,0;1,0;0,04;0,0
09/2020;HEM;2020,0;9,0;II;5 a 9;8,0;5,0;0,4;0,0
09/2020;HEM;2020,0;9,0;III;10 a 14;15,0;14,0;2,1;0,0
09/2020;HEM;2020,0;9,0;IV;15 a 19;25,0;17,0;4,25;5,0
09/2020;HEM;2020,0;9,0;V;20 a 24;40,0;15,0;6,0;7,0
09/2020;HEM;2020,0;9,0;VI;25 a 29;55,0;6,0;3,3;5,0
09/2020;HEM;2020,0;9,0;VII;30 a 34;75,0;4,0;3,0;2,0
09/2020;HEM;2020,0;9,0;VIII;> 34;85,0;1,0;0,85;1,0
09/2020;HJK;2020,0;9,0;I;0 a 4;4,0;113,0;4,54;8,0
09/2020;HJK;2020,0;9,0;II;5 a 9;8,0;222,0;17,78;23,0
09/2020;HJK;2020,0;9,0;III;10 a 14;15,0;271,0;40,800000000000004;15,0
09/2020;HJK;2020,0;9,0;IV;15 a 19;25,0;271,0;67,85;32,0
09/2020;HJK;2020,0;9,0;V;20 a 24;40,0;167,0;66,8;35,0
09/2020;HJK;2020,0;9,0;VI;25 a 29;55,0;75,0;41,349999999999994;26,0
09/2020;HJK;2020,0;9,0;VII;30 a 34;75,0;42,0;31,6;19,0
09/2020;HJK;2020,0;9,0;VIII;> 34;85,0;22,0;18,8;18,0
09/2020;HJXXIII;2020,0;9,0;I;0 a 4;4,0;10,0;0,4;0,0
09/2020;HJXXIII;2020,0;9,0;II;5 a 9;8,0;32,0;2,56;1,0
09/2020;HJXXIII;2020,0;9,0;III;10 a 14;15,0;25,0;3,75;2,0
09/2020;HJXXIII;2020,0;9,0;IV;15 a 19;25,0;17,0;4,25;3,0
09/2020;HJXXIII;2020,0;9,0;V;20 a 24;40,0;12,0;4,8;4,0
09/2020;HJXXIII;2020,0;9,0;VI;25 a 29;55,0;5,0;2,75;1,0
09/2020;HJXXIII;2020,0;9,0;VII;30 a 34;75,0;2,0;1,5;2,0
09/2020;HJXXIII;2020,0;9,0;VIII;> 34;85,0;0,0;0,0;0,0
09/2020;HRAD;2020,0;9,0;I;0 a 4;4,0;0,0;0,0;0,0
09/2020;HRAD;2020,0;9,0;II;5 a 9;8,0;9,0;0,72;0,0
09/2020;HRAD;2020,0;9,0;III;10 a 14;15,0;11,0;1,65;1,0
09/2020;HRAD;2020,0;9,0;IV;15 a 19;25,0;11,0;2,75;2,0
09/2020;HRAD;2020,0;9,0;V;20 a 24;40,0;8,0;3,2;4,0
09/2020;HRAD;2020,0;9,0;VI;25 a 29;55,0;5,0;2,75;4,0
09/2020;HRAD;2020,0;9,0;VII;30 a 34;75,0;1,0;0,75;1,0
09/2020;HRAD;2020,0;9,0;VIII;> 34;85,0;0,0;0,0;0,0
09/2020;HRBJA;2020,0;9,0;I;0 a 4;4,0;0,0;0,0;0,0
09/2020;HRBJA;2020,0;9,0;II;5 a 9;8,0;0,0;0,0;0,0
09/2020;HRBJA;2020,0;9,0;III;10 a 14;15,0;0,0;0,0;0,0
09/2020;HRBJA;2020,0;9,0;IV;15 a 19;25,0;0,0;0,0;0,0
09/2020;HRBJA;2020,0;9,0;V;20 a 24;40,0;0,0;0,0;0,0
09/2020;HRBJA;2020,0;9,0;VI;25 a 29;55,0;0,0;0,0;0,0
09/2020;HRBJA;2020,0;9,0;VII;30 a 34;75,0;0,0;0,0;0,0
09/2020;HRBJA;2020,0;9,0;VIII;> 34;85,0;0,0;0,0;0,0
09/2020;HRJP;2020,0;9,0;I;0 a 4;4,0;0,0;0,0;1,0
09/2020;HRJP;2020,0;9,0;II;5 a 9;8,0;2,0;0,16;5,0
09/2020;HRJP;2020,0;9,0;III;10 a 14;15,0;1,0;0,15;9,0
09/2020;HRJP;2020,0;9,0;IV;15 a 19;25,0;6,0;1,5;14,0
09/2020;HRJP;2020,0;9,0;V;20 a 24;40,0;3,0;1,2;3,0
09/2020;HRJP;2020,0;9,0;VI;25 a 29;55,0;0,0;0,0;3,0
09/2020;HRJP;2020,0;9,0;VII;30 a 34;75,0;0,0;0,0;2,0
09/2020;HRJP;2020,0;9,0;VIII;> 34;85,0;0,0;0,0;0,0
09/2020;MOV;2020,0;9,0;I;0 a 4;4,0;0,0;0,0;0,0
09/2020;MOV;2020,0;9,0;II;5 a 9;8,0;0,0;0,0;0,0
09/2020;MOV;2020,0;9,0;III;10 a 14;15,0;0,0;0,0;0,0
09/2020;MOV;2020,0;9,0;IV;15 a 19;25,0;0,0;0,0;0,0
09/2020;MOV;2020,0;9,0;V;20 a 24;40,0;0,0;0,0;0,0
09/2020;MOV;2020,0;9,0;VI;25 a 29;55,0;0,0;0,0;0,0
09/2020;MOV;2020,0;9,0;VII;30 a 34;75,0;0,0;0,0;0,0
09/2020;MOV;2020,0;9,0;VIII;> 34;85,0;0,0;0,0;0,0
10/2020;HAC;2020,0;10,0;I;0 a 4;4,0;1,0;0,04;0,0
10/2020;HAC;2020,0;10,0;II;5 a 9;8,0;13,0;1,04;1,0
10/2020;HAC;2020,0;10,0;III;10 a 14;15,0;14,0;2,1;0,0
10/2020;HAC;2020,0;10,0;IV;15 a 19;25,0;4,0;1,0;1,0
10/2020;HAC;2020,0;10,0;V;20 a 24;40,0;2,0;0,8;0,0
10/2020;HAC;2020,0;10,0;VI;25 a 29;55,0;0,0;0,0;0,0
10/2020;HAC;2020,0;10,0;VII;30 a 34;75,0;2,0;1,5;2,0
10/2020;HAC;2020,0;10,0;VIII;> 34;85,0;2,0;1,7;2,0
10/2020;HEM;2020,0;10,0;I;0 a 4;4,0;0,0;0,0;0,0
10/2020;HEM;2020,0;10,0;II;5 a 9;8,0;5,0;0,4;0,0
10/2020;HEM;2020,0;10,0;III;10 a 14;15,0;17,0;2,55;3,0
10/2020;HEM;2020,0;10,0;IV;15 a 19;25,0;16,0;4,0;6,0
10/2020;HEM;2020,0;10,0;V;20 a 24;40,0;10,0;4,0;3,0
10/2020;HEM;2020,0;10,0;VI;25 a 29;55,0;3,0;1,65;2,0
10/2020;HEM;2020,0;10,0;VII;30 a 34;75,0;4,0;3,0;3,0
10/2020;HEM;2020,0;10,0;VIII;> 34;85,0;3,0;2,55;2,0
10/2020;HJK;2020,0;10,0;I;0 a 4;4,0;112,0;4,5;8,0
10/2020;HJK;2020,0;10,0;II;5 a 9;8,0;223,0;17,86;24,0
10/2020;HJK;2020,0;10,0;III;10 a 14;15,0;272,0;40,95;15,0
10/2020;HJK;2020,0;10,0;IV;15 a 19;25,0;267,0;66,85;36,0
10/2020;HJK;2020,0;10,0;V;20 a 24;40,0;166,0;66,4;37,0
10/2020;HJK;2020,0;10,0;VI;25 a 29;55,0;78,0;43,0;26,0
10/2020;HJK;2020,0;10,0;VII;30 a 34;75,0;41,0;30,85;19,0
10/2020;HJK;2020,0;10,0;VIII;> 34;85,0;20,0;17,1;16,0
10/2020;HJXXIII;2020,0;10,0;I;0 a 4;4,0;16,0;0,64;0,0
10/2020;HJXXIII;2020,0;10,0;II;5 a 9;8,0;22,0;1,76;3,0
10/2020;HJXXIII;2020,0;10,0;III;10 a 14;15,0;20,0;3,0;6,0
10/2020;HJXXIII;2020,0;10,0;IV;15 a 19;25,0;19,0;4,75;7,0
10/2020;HJXXIII;2020,0;10,0;V;20 a 24;40,0;19,0;7,6;8,0
10/2020;HJXXIII;2020,0;10,0;VI;25 a 29;55,0;8,0;4,4;3,0
10/2020;HJXXIII;2020,0;10,0;VII;30 a 34;75,0;2,0;1,5;1,0
10/2020;HJXXIII;2020,0;10,0;VIII;> 34;85,0;3,0;2,55;2,0
10/2020;HRAD;2020,0;10,0;I;0 a 4;4,0;0,0;0,0;0,0
10/2020;HRAD;2020,0;10,0;II;5 a 9;8,0;17,0;1,3599999999999999;0,0
10/2020;HRAD;2020,0;10,0;III;10 a 14;15,0;18,0;2,7;1,0
10/2020;HRAD;2020,0;10,0;IV;15 a 19;25,0;7,0;1,75;1,0
10/2020;HRAD;2020,0;10,0;V;20 a 24;40,0;7,0;2,8;3,0
10/2020;HRAD;2020,0;10,0;VI;25 a 29;55,0;4,0;2,2;1,0
10/2020;HRAD;2020,0;10,0;VII;30 a 34;75,0;0,0;0,0;0,0
10/2020;HRAD;2020,0;10,0;VIII;> 34;85,0;0,0;0,0;0,0
10/2020;HRBJA;2020,0;10,0;I;0 a 4;4,0;0,0;0,0;0,0
10/2020;HRBJA;2020,0;10,0;II;5 a 9;8,0;0,0;0,0;0,0
10/2020;HRBJA;2020,0;10,0;III;10 a 14;15,0;0,0;0,0;0,0
10/2020;HRBJA;2020,0;10,0;IV;15 a 19;25,0;0,0;0,0;0,0
10/2020;HRBJA;2020,0;10,0;V;20 a 24;40,0;0,0;0,0;0,0
10/2020;HRBJA;2020,0;10,0;VI;25 a 29;55,0;0,0;0,0;0,0
10/2020;HRBJA;2020,0;10,0;VII;30 a 34;75,0;0,0;0,0;0,0
10/2020;HRBJA;2020,0;10,0;VIII;> 34;85,0;0,0;0,0;0,0
10/2020;HRJP;2020,0;10,0;I;0 a 4;4,0;1,0;0,04;0,0
10/2020;HRJP;2020,0;10,0;II;5 a 9;8,0;1,0;0,08;0,0
10/2020;HRJP;2020,0;10,0;III;10 a 14;15,0;24,0;3,6;3,0
10/2020;HRJP;2020,0;10,0;IV;15 a 19;25,0;23,0;5,75;10,0
10/2020;HRJP;2020,0;10,0;V;20 a 24;40,0;7,0;2,8;3,0
10/2020;HRJP;2020,0;10,0;VI;25 a 29;55,0;0,0;0,0;0,0
10/2020;HRJP;2020,0;10,0;VII;30 a 34;75,0;0,0;0,0;0,0
10/2020;HRJP;2020,0;10,0;VIII;> 34;85,0;0,0;0,0;0,0
10/2020;MOV;2020,0;10,0;I;0 a 4;4,0;0,0;0,0;0,0
10/2020;MOV;2020,0;10,0;II;5 a 9;8,0;0,0;0,0;0,0
10/2020;MOV;2020,0;10,0;III;10 a 14;15,0;0,0;0,0;0,0
10/2020;MOV;2020,0;10,0;IV;15 a 19;25,0;0,0;0,0;0,0
10/2020;MOV;2020,0;10,0;V;20 a 24;40,0;0,0;0,0;0,0
10/2020;MOV;2020,0;10,0;VI;25 a 29;55,0;0,0;0,0;0,0
10/2020;MOV;2020,0;10,0;VII;30 a 34;75,0;0,0;0,0;0,0
10/2020;MOV;2020,0;10,0;VIII;> 34;85,0;0,0;0,0;0,0
11/2020;HAC;2020,0;11,0;I;0 a 4;4,0;3,0;0,12;0,0
11/2020;HAC;2020,0;11,0;II;5 a 9;8,0;11,0;0,88;0,0
11/2020;HAC;2020,0;11,0;III;10 a 14;15,0;16,0;2,4;2,0
11/2020;HAC;2020,0;11,0;IV;15 a 19;25,0;5,0;1,25;1,0
11/2020;HAC;2020,0;11,0;V;20 a 24;40,0;2,0;0,8;1,0
11/2020;HAC;2020,0;11,0;VI;25 a 29;55,0;1,0;0,55;0,0
11/2020;HAC;2020,0;11,0;VII;30 a 34;75,0;0,0;0,0;0,0
11/2020;HAC;2020,0;11,0;VIII;> 34;85,0;0,0;0,0;0,0
11/2020;HEM;2020,0;11,0;I;0 a 4;4,0;1,0;0,04;0,0
11/2020;HEM;2020,0;11,0;II;5 a 9;8,0;10,0;0,8;1,0
11/2020;HEM;2020,0;11,0;III;10 a 14;15,0;16,0;2,4;1,0
11/2020;HEM;2020,0;11,0;IV;15 a 19;25,0;13,0;3,25;1,0
11/2020;HEM;2020,0;11,0;V;20 a 24;40,0;17,0;6,8;2,0
11/2020;HEM;2020,0;11,0;VI;25 a 29;55,0;3,0;1,65;0,0
11/2020;HEM;2020,0;11,0;VII;30 a 34;75,0;3,0;2,25;0,0
11/2020;HEM;2020,0;11,0;VIII;> 34;85,0;3,0;2,55;2,0
11/2020;HJK;2020,0;11,0;I;0 a 4;4,0;114,0;4,58;8,0
11/2020;HJK;2020,0;11,0;II;5 a 9;8,0;224,0;17,939999999999998;23,0
11/2020;HJK;2020,0;11,0;III;10 a 14;15,0;274,0;41,25;15,0
11/2020;HJK;2020,0;11,0;IV;15 a 19;25,0;264,0;66,1;33,0
11/2020;HJK;2020,0;11,0;V;20 a 24;40,0;166,0;66,4;35,0
11/2020;HJK;2020,0;11,0;VI;25 a 29;55,0;85,0;46,849999999999994;24,0
11/2020;HJK;2020,0;11,0;VII;30 a 34;75,0;42,0;31,6;20,0
11/2020;HJK;2020,0;11,0;VIII;> 34;85,0;19,0;16,25;15,0
11/2020;HJXXIII;2020,0;11,0;I;0 a 4;4,0;12,0;0,48;0,0
11/2020;HJXXIII;2020,0;11,0;II;5 a 9;8,0;39,0;3,12;1,0
11/2020;HJXXIII;2020,0;11,0;III;10 a 14;15,0;38,0;5,7;5,0
11/2020;HJXXIII;2020,0;11,0;IV;15 a 19;25,0;24,0;6,0;4,0
11/2020;HJXXIII;2020,0;11,0;V;20 a 24;40,0;8,0;3,2;4,0
11/2020;HJXXIII;2020,0;11,0;VI;25 a 29;55,0;5,0;2,75;3,0
11/2020;HJXXIII;2020,0;11,0;VII;30 a 34;75,0;0,0;0,0;0,0
11/2020;HJXXIII;2020,0;11,0;VIII;> 34;85,0;0,0;0,0;0,0
11/2020;HRAD;2020,0;11,0;I;0 a 4;4,0;0,0;0,0;0,0
11/2020;HRAD;2020,0;11,0;II;5 a 9;8,0;2,0;0,16;0,0
11/2020;HRAD;2020,0;11,0;III;10 a 14;15,0;13,0;1,9500000000000002;1,0
11/2020;HRAD;2020,0;11,0;IV;15 a 19;25,0;13,0;3,25;2,0
11/2020;HRAD;2020,0;11,0;V;20 a 24;40,0;11,0;4,4;1,0
11/2020;HRAD;2020,0;11,0;VI;25 a 29;55,0;2,0;1,1;2,0
11/2020;HRAD;2020,0;11,0;VII;30 a 34;75,0;4,0;3,0;2,0
11/2020;HRAD;2020,0;11,0;VIII;> 34;85,0;0,0;0,0;0,0
11/2020;HRBJA;2020,0;11,0;I;0 a 4;4,0;0,0;0,0;0,0
11/2020;HRBJA;2020,0;11,0;II;5 a 9;8,0;0,0;0,0;0,0
11/2020;HRBJA;2020,0;11,0;III;10 a 14;15,0;0,0;0,0;0,0
11/2020;HRBJA;2020,0;11,0;IV;15 a 19;25,0;0,0;0,0;0,0
11/2020;HRBJA;2020,0;11,0;V;20 a 24;40,0;0,0;0,0;0,0
11/2020;HRBJA;2020,0;11,0;VI;25 a 29;55,0;0,0;0,0;0,0
11/2020;HRBJA;2020,0;11,0;VII;30 a 34;75,0;0,0;0,0;0,0
11/2020;HRBJA;2020,0;11,0;VIII;> 34;85,0;0,0;0,0;0,0
11/2020;HRJP;2020,0;11,0;I;0 a 4;4,0;0,0;0,0;0,0
11/2020;HRJP;2020,0;11,0;II;5 a 9;8,0;1,0;0,08;0,0
11/2020;HRJP;2020,0;11,0;III;10 a 14;15,0;19,0;2,85;3,0
11/2020;HRJP;2020,0;11,0;IV;15 a 19;25,0;28,0;7,0;9,0
11/2020;HRJP;2020,0;11,0;V;20 a 24;40,0;8,0;3,2;4,0
11/2020;HRJP;2020,0;11,0;VI;25 a 29;55,0;0,0;0,0;0,0
11/2020;HRJP;2020,0;11,0;VII;30 a 34;75,0;0,0;0,0;0,0
11/2020;HRJP;2020,0;11,0;VIII;> 34;85,0;0,0;0,0;0,0
11/2020;MOV;2020,0;11,0;I;0 a 4;4,0;0,0;0,0;0,0
11/2020;MOV;2020,0;11,0;II;5 a 9;8,0;0,0;0,0;0,0
11/2020;MOV;2020,0;11,0;III;10 a 14;15,0;0,0;0,0;0,0
11/2020;MOV;2020,0;11,0;IV;15 a 19;25,0;0,0;0,0;0,0
11/2020;MOV;2020,0;11,0;V;20 a 24;40,0;0,0;0,0;0,0
11/2020;MOV;2020,0;11,0;VI;25 a 29;55,0;0,0;0,0;0,0
11/2020;MOV;2020,0;11,0;VII;30 a 34;75,0;0,0;0,0;0,0
11/2020;MOV;2020,0;11,0;VIII;> 34;85,0;0,0;0,0;0,0
12/2020;HAC;2020,0;12,0;I;0 a 4;4,0;0,0;0,0;0,0
12/2020;HAC;2020,0;12,0;II;5 a 9;8,0;5,0;0,4;0,0
12/2020;HAC;2020,0;12,0;III;10 a 14;15,0;7,0;1,05;0,0
12/2020;HAC;2020,0;12,0;IV;15 a 19;25,0;11,0;2,75;0,0
12/2020;HAC;2020,0;12,0;V;20 a 24;40,0;3,0;1,2;0,0
12/2020;HAC;2020,0;12,0;VI;25 a 29;55,0;1,0;0,55;0,0
12/2020;HAC;2020,0;12,0;VII;30 a 34;75,0;0,0;0,0;0,0
12/2020;HAC;2020,0;12,0;VIII;> 34;85,0;3,0;2,55;3,0
12/2020;HEM;2020,0;12,0;I;0 a 4;4,0;0,0;0,0;0,0
12/2020;HEM;2020,0;12,0;II;5 a 9;8,0;7,0;0,56;1,0
12/2020;HEM;2020,0;12,0;III;10 a 14;15,0;26,0;3,9;7,0
12/2020;HEM;2020,0;12,0;IV;15 a 19;25,0;32,0;8,0;9,0
12/2020;HEM;2020,0;12,0;V;20 a 24;40,0;13,0;5,2;3,0
12/2020;HEM;2020,0;12,0;VI;25 a 29;55,0;9,0;4,95;6,0
12/2020;HEM;2020,0;12,0;VII;30 a 34;75,0;6,0;4,5;3,0
12/2020;HEM;2020,0;12,0;VIII;> 34;85,0;5,0;4,25;5,0
12/2020;HJK;2020,0;12,0;I;0 a 4;4,0;112,0;4,5;8,0
12/2020;HJK;2020,0;12,0;II;5 a 9;8,0;228,0;18,259999999999998;23,0
12/2020;HJK;2020,0;12,0;III;10 a 14;15,0;282,0;42,45;17,0
12/2020;HJK;2020,0;12,0;IV;15 a 19;25,0;259,0;64,85;33,0
12/2020;HJK;2020,0;12,0;V;20 a 24;40,0;164,0;65,6;33,0
12/2020;HJK;2020,0;12,0;VI;25 a 29;55,0;79,0;43,55;25,0
12/2020;HJK;2020,0;12,0;VII;30 a 34;75,0;41,0;30,85;20,0
12/2020;HJK;2020,0;12,0;VIII;> 34;85,0;22,0;18,8;15,0
12/2020;HJXXIII;2020,0;12,0;I;0 a 4;4,0;12,0;0,48;0,0
12/2020;HJXXIII;2020,0;12,0;II;5 a 9;8,0;31,0;2,48;0,0
12/2020;HJXXIII;2020,0;12,0;III;10 a 14;15,0;39,0;5,85;6,0
12/2020;HJXXIII;2020,0;12,0;IV;15 a 19;25,0;24,0;6,0;4,0
12/2020;HJXXIII;2020,0;12,0;V;20 a 24;40,0;10,0;4,0;4,0
12/2020;HJXXIII;2020,0;12,0;VI;25 a 29;55,0;8,0;4,4;5,0
12/2020;HJXXIII;2020,0;12,0;VII;30 a 34;75,0;4,0;3,0;3,0
12/2020;HJXXIII;2020,0;12,0;VIII;> 34;85,0;0,0;0,0;0,0
12/2020;HRAD;2020,0;12,0;I;0 a 4;4,0;2,0;0,08;0,0
12/2020;HRAD;2020,0;12,0;II;5 a 9;8,0;7,0;0,56;0,0
12/2020;HRAD;2020,0;12,0;III;10 a 14;15,0;9,0;1,35;1,0
12/2020;HRAD;2020,0;12,0;IV;15 a 19;25,0;11,0;2,75;0,0
12/2020;HRAD;2020,0;12,0;V;20 a 24;40,0;11,0;4,4;2,0
12/2020;HRAD;2020,0;12,0;VI;25 a 29;55,0;3,0;1,65;0,0
12/2020;HRAD;2020,0;12,0;VII;30 a 34;75,0;1,0;0,75;0,0
12/2020;HRAD;2020,0;12,0;VIII;> 34;85,0;0,0;0,0;0,0
12/2020;HRBJA;2020,0;12,0;I;0 a 4;4,0;0,0;0,0;0,0
12/2020;HRBJA;2020,0;12,0;II;5 a 9;8,0;0,0;0,0;0,0
12/2020;HRBJA;2020,0;12,0;III;10 a 14;15,0;0,0;0,0;0,0
12/2020;HRBJA;2020,0;12,0;IV;15 a 19;25,0;0,0;0,0;0,0
12/2020;HRBJA;2020,0;12,0;V;20 a 24;40,0;0,0;0,0;0,0
12/2020;HRBJA;2020,0;12,0;VI;25 a 29;55,0;0,0;0,0;0,0
12/2020;HRBJA;2020,0;12,0;VII;30 a 34;75,0;0,0;0,0;0,0
12/2020;HRBJA;2020,0;12,0;VIII;> 34;85,0;0,0;0,0;0,0
12/2020;HRJP;2020,0;12,0;I;0 a 4;4,0;2,0;0,08;0,0
12/2020;HRJP;2020,0;12,0;II;5 a 9;8,0;2,0;0,16;0,0
12/2020;HRJP;2020,0;12,0;III;10 a 14;15,0;20,0;3,0;2,0
12/2020;HRJP;2020,0;12,0;IV;15 a 19;25,0;25,0;6,25;9,0
12/2020;HRJP;2020,0;12,0;V;20 a 24;40,0;12,0;4,8;6,0
12/2020;HRJP;2020,0;12,0;VI;25 a 29;55,0;0,0;0,0;0,0
