excluir;unidade;ano;mes;grau;score;predicao_obito;saidas;obitos_esperados;obitos_ocorridos
01/2019;MOV;2019,0;1,0;VIII;> 34;85,0;0,0;0,0;0,0
02/2019;HAC;2019,0;2,0;I;0 a 4;4,0;2,0;0,08;0,0
02/2019;HAC;2019,0;2,0;II;5 a 9;8,0;8,0;0,64;0,0
02/2019;HAC;2019,0;2,0;III;10 a 14;15,0;15,0;2,25;0,0
02/2019;HAC;2019,0;2,0;IV;15 a 19;25,0;10,0;2,5;0,0
02/2019;HAC;2019,0;2,0;V;20 a 24;40,0;3,0;1,2;0,0
02/2019;HAC;2019,0;2,0;VI;25 a 29;55,0;1,0;0,55;1,0
02/2019;HAC;2019,0;2,0;VII;30 a 34;75,0;0,0;0,0;0,0
02/2019;HAC;2019,0;2,0;VIII;> 34;85,0;0,0;0,0;0,0
02/2019;HEM;2019,0;2,0;I;0 a 4;4,0;0,0;0,0;0,0
02/2019;HEM;2019,0;2,0;II;5 a 9;8,0;3,0;0,24;0,0
02/2019;HEM;2019,0;2,0;III;10 a 14;15,0;3,0;0,45;1,0
02/2019;HEM;2019,0;2,0;IV;15 a 19;25,0;2,0;0,5;1,0
02/2019;HEM;2019,0;2,0;V;20 a 24;40,0;4,0;1,6;2,0
02/2019;HEM;2019,0;2,0;VI;25 a 29;55,0;4,0;2,2;1,0
02/2019;HEM;2019,0;2,0;VII;30 a 34;75,0;2,0;1,5;2,0
02/2019;HEM;2019,0;2,0;VIII;> 34;85,0;3,0;2,55;2,0
02/2019;HJK;2019,0;2,0;I;0 a 4;4,0;112,0;4,5;8,0
02/2019;HJK;2019,0;2,0;II;5 a 9;8,0;224,0;17,939999999999998;23,0
02/2019;HJK;2019,0;2,0;III;10 a 14;15,0;283,0;42,6;17,0
02/2019;HJK;2019,0;2,0;IV;15 a 19;25,0;272,0;68,1;33,0
02/2019;HJK;2019,0;2,0;V;20 a 24;40,0;167,0;66,8;35,0
02/2019;HJK;2019,0;2,0;VI;25 a 29;55,0;79,0;43,55;26,0
02/2019;HJK;2019,0;2,0;VII;30 a 34;75,0;42,0;31,6;19,0
02/2019;HJK;2019,0;2,0;VIII;> 34;85,0;24,0;20,5;16,0
02/2019;HJXXIII;2019,0;2,0;I;0 a 4;4,0;5,0;0,2;0,0
02/2019;HJXXIII;2019,0;2,0;II;5 a 9;8,0;7,0;0,56;0,0
02/2019;HJXXIII;2019,0;2,0;III;10 a 14;15,0;16,0;2,4;2,0
02/2019;HJXXIII;2019,0;2,0;IV;15 a 19;25,0;38,0;9,5;3,0
02/2019;HJXXIII;2019,0;2,0;V;20 a 24;40,0;30,0;12,0;4,0
02/2019;HJXXIII;2019,0;2,0;VI;25 a 29;55,0;16,0;8,8;3,0
02/2019;HJXXIII;2019,0;2,0;VII;30 a 34;75,0;2,0;1,5;0,0
02/2019;HJXXIII;2019,0;2,0;VIII;> 34;85,0;5,0;4,25;2,0
02/2019;HRAD;2019,0;2,0;I;0 a 4;4,0;0,0;0,0;0,0
02/2019;HRAD;2019,0;2,0;II;5 a 9;8,0;15,0;1,2;0,0
02/2019;HRAD;2019,0;2,0;III;10 a 14;15,0;25,0;3,75;1,0
02/2019;HRAD;2019,0;2,0;IV;15 a 19;25,0;13,0;3,25;2,0
02/2019;HRAD;2019,0;2,0;V;20 a 24;40,0;6,0;2,4;2,0
02/2019;HRAD;2019,0;2,0;VI;25 a 29;55,0;2,0;1,1;2,0
02/2019;HRAD;2019,0;2,0;VII;30 a 34;75,0;2,0;1,5;2,0
